stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
400,GMA12R,Hôpital Pellegrin (Grand Maurian),44.83079400,-0.60424300,33063,,0,BGMAURI,1,1825,GMAU,GMA12R,400,1825,Hôpital Pellegrin
5864,RTO43R,Hôpital R.Picqué,44.80047106,-0.56929692,,,0,,0,1829,RTOU,RTO43R,5864,1829,Hôpital R.Picqué
5865,RTO43A,Hôpital R.Picqué,44.80044295,-0.56989008,,,0,,0,1830,RTOU,RTO43A,5865,1830,Hôpital R.Picqué
1647,RPI20R,Hôpital Robert Picqué,44.79987400,-0.56993000,33039,,0,BRPIQU,1,1828,RPIQ,RPI20R,1647,1828,Hôpital R Picqué
2691,RPI20A,Hôpital Robert Picqué,44.80001200,-0.57012800,33550,,0,BRPIQU,0,1827,RPIQ,RPI20A,2691,1827,Hôpital R Picqué
5857,BTR45A,Hôpital Saint-André,44.83288500,-0.57807000,33063,,0,BEULAL,1,3820,EULA,BTR45A,5857,3820,Hôpital St-André
3530,AND23A,Hôpital St André,44.83439119,-0.57833089,,,0,,0,1831,SAND,AND23A,3530,1831,Hôpital St André
8512,AND04A,Hôpital St André,44.83321237,-0.58190352,,,0,,0,4733,SAND,AND04A,8512,4733,Hôpital St André
2926,DEL76R,Hôpital Suburbain,44.86702800,-0.61829300,33069,,0,BDELAYE,1,1832,DELA,DEL76R,2926,1832,Hôpital Suburbain
3790,DEL76A,Hôpital Suburbain,44.86736600,-0.61758000,33069,,0,BDELAYE,1,1833,DELA,DEL76A,3790,1833,Hôpital Suburbain
9833,HSU33R,Hôpital Suburbain,44.86707100,-0.61805500,33069,,0,BHOPSUB,0,5817,HOPS,HSU33R,9833,5817,Hôpital Suburbain
1543,ARN80R,Hôpital X.Arnozan,44.79632275,-0.66082737,,,0,,0,1834,XAVA,ARN80R,1543,1834,Hôpital X.Arnozan
13111,POL01A,Hôtel de Police,44.83482200,-0.58870700,33063,,0,BHDPOL,0,5650,HDPO,POL01A,13111,5650,Hôtel de Police
15041,SBHOTR,Hôtel de Police,44.83551737,-0.58866241,,,0,,0,4455,HPOL,SBHOTR,15041,4455,Hôtel de Police
15042,SBHOTA,Hôtel de Police,44.83475942,-0.58868996,,,0,,0,4441,HPOL,SBHOTA,15042,4441,Hôtel de Police
3583,BIB10R,Hôtel de Police,44.83376100,-0.58834700,33063,,0,BPOLICE,1,1840,POLI,BIB10R,3583,1840,Hôtel de Police
4581,POLIA,Hôtel de Police,44.83488000,-0.58885000,33063,,0,TPOLIC,1,1842,HPO,POLICE_A,4581,1842,HOTEL DE POLICE
4582,POLIR,Hôtel de Police,44.83492700,-0.58881500,33063,,0,TPOLIC,1,1841,HPO,POLICE_R,4582,1841,HOTEL DE POLICE
5953,POL26A,Hôtel de Police,44.83366134,-0.58836646,,,0,,0,1843,POLI,POL26A,5953,1843,Hôtel de Police
8311,HPO26A,Hôtel de Police,44.83460600,-0.58759100,33063,,0,BHPOLI,0,4692,HPOL,HPO26A,8311,4692,Hôtel de Police
